Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
amerimedimaging.com,"5412520","American Medical Imaging","100 Griffin Road Suite C","Portsmouth","NH","03081","United States","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
aequilibrium.ca,"12833676","Aequilibrium","622 Waterloo Dr","Port Moody","BC","V3H 3K5","Canada","1(778)355-2941","info@aequilibrium.ca","AequilibriumInc","25 - 100","$1 - 10M","No","","Information Services","Datanyze"
cimtec-canada.ca,"1M+","Centre for Imaging Technology Commercialization (CIMTEC)","Suite 130, 100 Collip Circle","London","ON","N6G 4X8","Canada","","","cimtecimaging","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
talaihainia.wix.com,"1M+","Australian Integrated Health","Level 1, 69 Central Coast Highway West Gosford","NSW","NSW","2250","Australia","","","","25 - 100","$1 - 10M","Yes","","Hospital & Health Care","Datanyze"
qaservices.net,"1M+","Quality Assurance Services Inc","1500 Via Hacienda","Chula Vista","CA","91913","United States","1(619)482-1003","","","0 - 25","$0 - 1M","No","","","Datanyze"
bigiris.com,"1M+","BigIris Inc","","","","","","","","","0 - 25","$0 - 1M","","","Information Services","Datanyze"
emtensor.com,"1M+","EMTensor GmbH","Donau City Strasse 1","Vienna","Vienna","1220","Austria","4318906612","ilse.baumann@emtensor.com","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
empiresons.com.au,"1M+","Empire Sons","","","","","Australia","","","","0 - 25","$0 - 1M","No","","Mechanical or Industrial Engineering","Datanyze"
geneva-imaging-center.com,"1M+","GENEVA IMAGING CENTER","21 rue chantepoulet","Geneve","Geneve","1200","Switzerland","41225455050","frank.pilleul@yahoo.fr","","0 - 25","$0 - 1M","","","Medical Practice","Datanyze"
corelabpartners.com,"1M+","CoreLab Partners, Inc.","11820 NORTHUP WAY","BELLEVUE","WA","98005","United States","1(609)936-2600","","","250 - 1000","$50 - 100M","No","","","Datanyze"
medicalteknologix.com,"1M+","Medical Teknologix","","","","","United States","","contact@medicalteknologix.com","contactMedTek","0 - 25","$0 - 1M","No","","Computer Software","Datanyze"
imeka.ca,"1M+","Imeka","3IT - P2 - B. 4.33 3000 Blvd Universite","Sherbrooke","QC","J1K 0A5","Canada","","","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
gelsight.com,"1M+","GelSight","60 LANDSEER ST","WEST ROXBURY","MA","02132","United States","1(617)460-7604","bill@gelsight.com","gelsight","0 - 25","$0 - 1M","No","Yes","Mechanical or Industrial Engineering","Datanyze"
mhimaging.com,"1M+","MH Imaging","7818 W Layton Ave","Greenfield","WI","53220","United States","1(414)281-1490","","MHImaging","25 - 100","$1 - 10M","No","","Hospital & Health Care","Datanyze"
thistoowill.com,"1M+","THISTOOWILL","","","","","","","","","0 - 25","$0 - 1M","","","Computer Software","Datanyze"
nvtec.at,"1M+","NVTec Neurovascular Technologies GmbH","Mariahilfer Str. 136/1.10","Vienna","","1150","Austria","","","","0 - 25","$0 - 1M","No","","Research","Datanyze"
saveray.com,"1M+","Euromechanics saveRay GmbH","Rankestrasse 9","Nuremberg","Bavaria","90461","Germany","4991194931665","domain@euromechanics-saveray.com","EurosaveRay","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
northstarradiology.com,"1M+","North Star Radiology","2310 Peger Road Suite 102","Fairbanks","AK","99709","United States","","","","25 - 100","$1 - 10M","No","","Hospital & Health Care","Datanyze"
bmd-software.com,"1M+","BMD Software","Campus Universitrio de Santiago, Edifcio 1","Aveiro","","3819 193","Portugal","351308804004","JLO@UA.PT","bmd_software","0 - 25","$0 - 1M","No","","Computer Software","Datanyze"
synaptivemedical.com,"1M+","Synaptive Medical","101 College St, Suite 200","Toronto","ON","M5G 1L7","Canada","","","","100 - 250","$1 - 10M","No","","Medical Devices","Datanyze"
progressivemedical.org,"1M+","Progressive Medical Enterprises. LLC","499 SW 98th Lane","Ocala","FL","34476","United States","1(608)514-3724","rmurry@progressivemedical.org","","0 - 25","$0 - 1M","No","","Hospital & Health Care","Datanyze"
dev-tank.com,"1M+","Dev tank","","","","","Czech Republic","","","","0 - 25","$0 - 1M","No","","Computer Software","Datanyze"
epipole.com,"1M+","Epipole Ltd.","Liberty House Business Centre, 15 Cromarty Campus,","Rosyth","Fife,","KY11 9PF.","United Kingdom","","","","0 - 25","$0 - 1M","No","","Research","Datanyze"
cloudmedicalimaging.com,"1M+","Cloud Medical Imaging, Inc.","5850 TG Lee Blvd.","Orlando","FL","32822","United States","1(866)537-1232","","CloudMedical","25 - 100","$1 - 10M","No","","Information Technology and Services","Datanyze"
colordopplermedia.com,"1M+","Color Doppler Media","Florican Road P.O.Civil Station,","Calicut","Kerala","673020","India","","","Color_Doppler","25 - 100","$1 - 10M","","","Marketing and Advertising","Datanyze"
