Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
perimetermed.com,"2334988","Perimeter Medical Imaging","555 Richmond Street West","Toronto","ON","M5V 3B1","Canada","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
amerimedimaging.com,"5412520","American Medical Imaging","100 Griffin Road Suite C","Portsmouth","NH","03081","United States","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
aequilibrium.ca,"12833676","Aequilibrium","622 Waterloo Dr","Port Moody","BC","V3H 3K5","Canada","1(778)355-2941","info@aequilibrium.ca","AequilibriumInc","25 - 100","$1 - 10M","No","","Information Services","Datanyze"
dealwell.com,"1M+","DealWell, LLC","7920 Belt Line Road","Dallas","TX","75254","United States","1(972)788-4202","","dealwellhealth","0 - 25","$0 - 1M","No","","Internet","Datanyze"
image.matters.pro,"1M+","Image Matters SA","Rue Damry 155","Boncelles","","4100","Belgium","","","ImageMattersPro","0 - 25","$0 - 1M","No","","Electrical/Electronic Manufacturing","Datanyze"
alineamed.com,"1M+","Alinea Medical Imaging","","","","","United States","","","","25 - 100","$1 - 10M","","","Medical Practice","Datanyze"
fibrores.org,"1M+","vzw FibroRes","Ganzendries 84","Ghent","","9000","Belgium","","","","0 - 25","$0 - 1M","","","Research","Datanyze"
mhimaging.com,"1M+","MH Imaging","7818 W Layton Ave","Greenfield","WI","53220","United States","1(414)281-1490","","MHImaging","25 - 100","$1 - 10M","No","","Hospital & Health Care","Datanyze"
neomip.com,"1M+","NeoMIP","PORTE DE L'ARENAS - HALL C- 455 PROMENADE DES ANGLAIS -","NICE Cedex 3","","06299","France","","","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
medicalii.com,"1M+","Medical Imaging Innovations","","","","","","","","medical_ii","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
triimaging.com,"1M+","Tri-Imaging Solutions","756 HICKORY INDUSTRIAL DR","OLD HICKORY","TN","37138","United States","1(615)447-4021","DFAULKNER@TRIIMAGING.COM","","0 - 25","$0 - 1M","No","","Hospital & Health Care","Datanyze"
quibim.com,"1M+","QUIBIM S.L.","Plaza Legion Espanola 4","Valencia","V","46010","Spain","34626436611","gracian.garcia@gmail.com","QuibimBiomarker","0 - 25","$0 - 1M","","","Biotechnology","Datanyze"
sospecialists.com,"1M+","Second Opinion Specialists","","","","","","","","FinalOpinion","0 - 25","$0 - 1M","No","","Medical Practice","Datanyze"
scicasts.com,"1M+","Scicasts","LCB Depot 31 Rutland Street Leicester","Leicester","Leicestershire","LE1 1RE","United Kingdom","","info@scicasts.com","scicasts","0 - 25","$1 - 10M","No","Yes","Online Media","Datanyze"
voxelmetric.com,"1M+","VoxelMetric","","","","","United States","","","","0 - 25","$0 - 1M","No","","Computer Software","Datanyze"
talaihainia.wix.com,"1M+","Australian Integrated Health","Level 1, 69 Central Coast Highway West Gosford","NSW","NSW","2250","Australia","","","","25 - 100","$1 - 10M","Yes","","Hospital & Health Care","Datanyze"
arivis.com,"1M+","arivis AG","EinsteinstraÃŸe 10","UnterschleiÃŸheim (Munich)","Bayern","85716","Germany","","","","100 - 250","$1 - 10M","Yes","","Computer Software","Datanyze"
aadcoimaging.com,"1M+","AADCO Imaging, LLC.","4021 Malaga Drive","Georgetown","TX","78628","United States","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
endoscope-i.com,"1M+","endoscope-i Ltd","Hemisphere","Birmingham","","","United Kingdom","","","endoscope_i","0 - 25","$0 - 1M","","","Information Technology and Services","Datanyze"
cloudmedicalimaging.com,"1M+","Cloud Medical Imaging, Inc.","5850 TG Lee Blvd.","Orlando","FL","32822","United States","1(866)537-1232","","CloudMedical","25 - 100","$1 - 10M","No","","Information Technology and Services","Datanyze"
geccodots.com,"1M+","Geccodots","Box 790","Lund","","22007","Sweden","","","","0 - 25","$0 - 1M","Yes","","Nanotechnology","Datanyze"
interscan.co,"1M+","Interscan Medical Inc.","349 5th Avenue","New York","NY","10016","United States","","","","0 - 25","$0 - 1M","","","Hospital & Health Care","Datanyze"
intuitim.com,"1M+","Intuitim","30 Clos Chapelle-Aux-Champs bte 1.30.30","Brussels","","B-1200","Belgium","","","intuitim","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
imgenious.co.uk,"1M+","Imgenious LTD","","","","","United States","","","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
soundmedicalimaging.net,"1M+","SHOMYSCAN LLC","12615 Meridian East","Puyallup","WA","98373","United States","1(253)435-5195","","","25 - 100","$1 - 10M","No","","Hospital & Health Care","Datanyze"
