Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
brainscope.com,"2647373","BrainScope Company","4350 East-West Highway Suite 1050","Bethesda","MD","20814","United States","1(240)752-7680","info@brainscope.com","BrainScope","25 - 100","$0 - 1M","No","Yes","Medical Devices","Datanyze"
airxpanders.com,"2841799","AirXpanders","1047 Elwell Court","Palo Alto","CA","94303","United States","1(650)390-9000","info@airxpanders.com","AirXpander","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
magnolia-medical.com,"3374988","Magnolia Medical Technologies","2001 Sixth Avenue, Suite 1604","Seattle","WA","98121","United States","1(206)418-6720","info@magnolia-medical.com","","0 - 25","$0 - 1M","","Yes","Medical Devices","Datanyze"
highresbio.com,"4601841","HighRes Biosolutions","299 WASHINGTON ST STE 56","WOBURN","MA","01801","United States","1(781)932-1912","mkiley@highresbio.com","","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
advandx.com,"4829037","AdvanDx","400 TradeCenter","Woburn","MA","01801","United States","1(781)376-0009","usa@advandx.com","advandx","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
imagestreammedical.com,"5236083","Image Stream Medical","One Monarch Drive","Littleton","MA","01460","United States","1(978)486-8494","info@imagestreammedical.com","","100 - 250","$10 - 50M","No","Yes","Medical Devices","Datanyze"
insightra.com,"5278950","Insightra Medical","9200 Irvine Center Drive","Irvine","CA","92618","United States","1(888)709-5939","info@insightra.com","","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
procyrion.com,"6146290","Procyrion","3900 Essex Lane Suite 250","Houston","TX","77027","United States","1(713)621-2350","will@procyrion.com","","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
guidedinc.com,"6192056","Guided Therapeutics","5835 Peachtree Corners East Suite D","Norcross","GA","30092","United States","1(770)242-8723","info@guidedtherapeutics.com","","25 - 100","$1 - 10M","Yes","Yes","Medical Devices","Datanyze"
tangentmedical.com,"6601019","Tangent Medical Technologies","8170 Jackson Road","Ann Arbor","MI","48103","United States","1(734)330-2668","colleen@tangentmedical.com","TangentMedical","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
clearguidemedical.com,"7901530","Clear Guide Medical","810 Wyman Park Dr G200","Baltimore","MD","21211","United States","1(443)570-3835","","ClearGuide","25 - 100","$0 - 1M","No","","Medical Devices","Datanyze"
lantostechnologies.com,"9034337","Lantos Technologies","201 Edgewater Drive, Suite 241","Wakefield","MA","01880","United States","1(617)500-9800","","lantostech","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
impelneuropharma.com,"11270801","Impel NeuroPharma","720 Broadway","Seattle","WA","98122","United States","1(206)568-1466","mphite@hotmail.com","","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
ivwatch.com,"16253111","ivWatch","469 McLaws Circle","Williamsburg","VA","23185","United States","1(757)871-8062","contact@ivwatch.com","","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
neochord.com,"1M+","NeoChord","7700 Equitable Drive Suite 206","Eden Prairie","MN","55344","United States","1(952)698-7800","info@NeoChord.com","","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
admittancetechnologies.com,"1M+","Admittance Technologies","3925 W. Braker Ln., 3rd Floor","Austin","TX","78759","United States","1(512)350-1187","johnporterfield@admittancetechnologies.com","","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
clearflow.com,"1M+","ClearFlow","1630 S. Sunkist St., Suite E","Anaheim","CA","92806","United States","1(844)257-3569","info@clearflow.com","PleuraFlow","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
semlerscientific.com,"1M+","Semler Scientific","2330 N.W. EVERETT STREET","Portland","OR","97210","United States","1(877)774-4211","BMCRAE@SEMLERSCIENTIFIC.COM","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
orthoaccel.com,"1M+","OrthoAccel Technologies, Inc.","6575 West Loop South Suite 200","Bellaire","TX","77401","United States","1(832)532-8645","7b2d75afbff83f0a6a7d8e8d64894dd3-1545180@contact.gandi.net","","100 - 250","$10 - 50M","No","","Medical Devices","Datanyze"
cadencebiomedical.com,"1M+","Cadence Biomedical","146 N. Canal St Suite 100","Seattle","WA","98103","United States","1(206)659-0614","info@cadencebio.com","","25 - 100","$0 - 1M","No","Yes","Medical Devices","Datanyze"
zyga.com,"1M+","Zyga Technology","5600 Rowland Road Suite 200","Minnetonka","MN","55343","United States","1(952)698-9942","","","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
invictusmed.com,"1M+","Invictus Medical","12500 Network Blvd. Suite 105","San Antonio","TX","78249","United States","1(210)862-1376","","","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
rinovum.com,"1M+","Rinovum Women's Health","300 Oxford Drive Suite 330","Monroeville","PA","15146","United States","1(412)200-7996","info@rinovum.com","Rinovum","25 - 100","$0 - 1M","No","Yes","Medical Devices","Datanyze"
roxwoodmedical.wix.com,"1M+","ROXWOOD MEDICAL, INC.","400 Seaport Court, Suite 103","Redwood City","CA","94063","United States","1(408)373-4751","mfarhagina@roxwoomedical.com","","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
pharmajet.com,"1M+","PHARMAJET","400 CORPORATE CIRCLE SUITE N","GOLDEN","CO","80401","United States","1(888)901-0009","info@pharmajet.com","","25 - 100","$1 - 10M","No","Yes","Medical Devices","Datanyze"
