Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
pixmeo.com,"685381","Pixmeo","266 rue de Bernex","Bernex","","1233","Switzerland","","","j0ris","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
amerimedimaging.com,"5412520","American Medical Imaging","100 Griffin Road Suite C","Portsmouth","NH","03081","United States","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
rivannamedical.com,"10710733","Rivanna Medical","1304 Stonegate Ct","Crozet","VA","22932","United States","1(828)612-8191","GBrusa@RivannaMedical.com","RivannaMedical","0 - 25","$0 - 1M","No","Yes","Medical Devices","Datanyze"
brainomix.com,"12034430","Brainomix","Prama House 267 Banbury Road, Summertown","Oxford","","OX2 7HT","United Kingdom","","","Brainomix","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
aequilibrium.ca,"12833676","Aequilibrium","622 Waterloo Dr","Port Moody","BC","V3H 3K5","Canada","1(778)355-2941","info@aequilibrium.ca","AequilibriumInc","25 - 100","$1 - 10M","No","","Information Services","Datanyze"
mhimaging.com,"1M+","MH Imaging","7818 W Layton Ave","Greenfield","WI","53220","United States","1(414)281-1490","","MHImaging","25 - 100","$1 - 10M","No","","Hospital & Health Care","Datanyze"
upsamplesoftware.com,"1M+","Upsample Software, LLC","","","","","United States","","","","0 - 25","$0 - 1M","","","Computer Software","Datanyze"
texrad.com,"1M+","TexRAD Ltd","Grange Park, Broadway|Bourn","Cambridge","","CB23 2TA","United Kingdom","441954718042","mike@cambridge-imaging.co.uk","texRadLimited","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
vigilantmedical.net,"1M+","Vigilant Medical","2400 Boston St.","Baltimore","MD","21211","United States","1(410)800-4842","info@vigilantmedical.net","vigilantmedical","0 - 25","$0 - 1M","No","","Information Technology and Services","Datanyze"
hemics.com,"1M+","Hemics","Torenallee 20","Eindhoven","","5617 BC","Netherlands","","","","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
nephosity.com,"1M+","Nephosity","615 GRANT AVE 3F","SAN FRANCISCO","CA","94108","United States","1(310)439-8917","hello@nephosity.com","nephosity","0 - 25","$0 - 1M","No","Yes","Computer Software","Datanyze"
bigiris.com,"1M+","BigIris Inc","","","","","","","","","0 - 25","$0 - 1M","","","Information Services","Datanyze"
intuitim.com,"1M+","Intuitim","30 Clos Chapelle-Aux-Champs bte 1.30.30","Brussels","","B-1200","Belgium","","","intuitim","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
lyscaut.com,"1M+","Lyscaut Medical Imaging Company","Bassebeekstraat 39","Gent","","9031","Belgium","","","","25 - 100","$1 - 10M","No","","Pharmaceuticals","Datanyze"
bmd-software.com,"1M+","BMD Software","Campus Universitrio de Santiago, Edifcio 1","Aveiro","","3819 193","Portugal","351308804004","JLO@UA.PT","bmd_software","0 - 25","$0 - 1M","No","","Computer Software","Datanyze"
azetech.com,"1M+","AZE TECHNOLOGY, INC.","1 BROADWAY 14TH FL","CAMBRIDGE","MA","02142","United States","1(617)475-1502","nicole.mauro@azetech.com","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
pacifichealthusa.com,"1M+","Pacific Healthcare Imaging, LLC","233 A Street Suite 703","San Diego","CA","92101","United States","1(619)810-0020","","PacificHealth1","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
empiresons.com.au,"1M+","Empire Sons","","","","","Australia","","","","0 - 25","$0 - 1M","No","","Mechanical or Industrial Engineering","Datanyze"
cloudmedicalimaging.com,"1M+","Cloud Medical Imaging, Inc.","5850 TG Lee Blvd.","Orlando","FL","32822","United States","1(866)537-1232","","CloudMedical","25 - 100","$1 - 10M","No","","Information Technology and Services","Datanyze"
prestigemedicalimaging.com,"1M+","PRESTIGE MEDICAL IMAGING, LLC","20377 SW ACACIA ST","NEWPORT BEACH","CA","92660","United States","","","","0 - 25","$1 - 10M","","","","Datanyze"
m2mdobrasil.com,"1M+","M2M do Brasil","","","","","","","","M2M_ndt","0 - 25","$0 - 1M","","","Electrical/Electronic Manufacturing","Datanyze"
panaceavision.com,"1M+","PANACEA VISION","52 SOI INTAMARA 22 SUTHISARN RD, DING-DANG","BANGKOK","DING-DANG","10400","Thailand","","POOBET@PANACEAVISION.COM","","0 - 25","$0 - 1M","No","","Information Technology and Services","Datanyze"
cirdanlab.com,"1M+","Cirdan Imaging LTD","Unit 4, Crescent Business Park Ballinderry Road","Lisburn","N.Ireland","BT28 2GN","United Kingdom","","donald@asylia.com","","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
datastreammed.com,"1M+","DATASTREAM MEDICAL IMAGING SYSTEMS, INC.","125 BUSINESS CENTER DR UNIT H","CORONA","CA","92880","United States","1(310)544-2666","jerrym@datastreammed.com","","0 - 25","$0 - 1M","","","","Datanyze"
pacsmule.com,"1M+","PACSMule","","","","","United States","","","","0 - 25","$0 - 1M","Yes","","Online Media","Datanyze"
